Server_06	Server_00	Server_01	Server_02	Server_03	Server_04	Server_05	Server_07	Server_0	Time
3.352	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.358	116.664
3.388	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.358	120.414
3.221	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.358	121.587
3.087	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.358	123.977
3.176	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.358	126.076
3.051	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.358	127.147
3.147	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.358	127.233
3.147	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.393	136.965
3.224	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.393	140.335
3.286	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.393	140.355
3.335	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.393	142.955
3.374	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.393	143.022
3.406	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.393	143.658
3.431	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.393	144.943
3.451	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.393	144.977
3.467	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.393	145.285
3.480	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.393	145.447
3.490	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.393	145.510
3.499	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.393	145.955
3.505	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.393	146.337
3.510	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.393	147.879
3.515	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.393	150.899
3.518	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.393	150.906
3.521	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.393	150.934
3.523	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.393	150.945
3.525	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.393	151.413
3.526	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.393	151.572
3.527	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.393	152.732
3.528	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.393	153.716
3.529	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.393	153.859
3.529	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.322	154.081
3.529	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.322	154.804
3.530	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.322	155.541
3.530	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.266	163.628
3.530	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.221	165.914
3.530	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.221	165.924
3.530	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.221	166.321
3.433	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.221	168.447
3.433	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.186	169.072
3.452	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.186	173.658
3.566	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.186	175.397
3.364	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.186	177.653
3.364	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.255	185.532
3.364	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.310	185.548
3.364	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.354	187.038
3.397	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.354	187.712
3.424	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.354	187.858
3.424	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.292	188.883
3.424	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.242	188.932
3.446	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.242	189.620
3.561	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.242	190.745
3.555	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.242	191.759
3.550	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.242	194.667
3.546	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.242	194.758
3.544	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.242	196.932
3.541	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.242	196.940
3.539	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.242	196.971
3.538	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.242	196.982
3.536	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.242	197.482
3.535	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.242	197.590
3.535	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.242	198.132
3.534	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.242	198.278
3.534	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.242	199.844
3.533	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.242	200.019
3.533	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.242	200.049
3.435	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.242	200.073
3.356	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.242	200.790
3.195	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.242	200.816
3.165	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.242	202.424
3.238	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.242	206.297
3.238	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.202	207.221
3.297	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.202	208.956
3.344	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.202	210.113
3.479	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.202	214.643
3.588	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.202	215.014
3.381	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.202	215.027
3.215	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.202	215.964
3.278	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.202	218.108
3.278	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.170	219.336
3.133	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.170	219.337
