Server_03	Server_0	Server_02
3.78	4.00	3.90
2.57	3.77	3.90
2.57	4.14	3.90
2.57	3.83	3.90
2.57	3.83	3.71
2.57	3.68	3.71
2.57	3.61	3.71
2.57	3.57	3.71
2.57	3.57	3.38
2.57	3.57	3.45
2.57	3.57	3.49
2.57	3.57	3.76
3.67	3.83	3.96
3.67	3.83	3.75
3.67	3.83	3.88
3.67	3.83	3.95
3.67	3.83	3.99
3.67	3.83	4.00
3.67	3.83	3.77
3.67	3.83	3.65
3.67	3.68	3.65
3.67	3.61	3.65
3.27	3.47	3.91
3.27	3.47	3.72
3.27	3.47	3.38
3.27	3.47	3.70
3.27	3.47	3.62
3.27	3.47	3.57
3.27	3.47	3.55
3.27	3.47	3.54
3.27	3.47	3.54
3.27	3.47	3.78
3.10	3.59	3.65
3.10	3.59	3.59
3.10	3.32	3.59
3.10	3.32	3.32
3.10	3.32	3.42
3.10	3.32	3.48
3.10	3.32	3.75
3.10	3.32	3.40
3.10	3.32	3.22
3.10	3.32	3.62
3.22	3.30	3.35
3.22	3.30	3.20
3.22	3.30	3.36
3.22	3.30	3.20
3.22	3.17	3.20
3.22	3.35	3.20
3.22	3.20	3.20
3.22	3.12	3.20
3.22	3.33	3.20
3.22	3.18	3.20
3.23	3.39	3.44
3.23	3.39	3.24
3.23	3.21	3.24
3.23	3.37	3.24
3.23	3.21	3.24
3.23	3.12	3.24
3.23	3.33	3.24
3.23	3.18	3.24
3.23	3.11	3.24
3.23	3.32	3.24
3.27	3.16	3.38
3.27	3.16	3.21
3.27	3.16	3.37
3.27	3.16	3.21
3.27	3.16	3.37
3.27	3.16	3.21
3.27	3.16	3.37
3.27	3.16	3.21
3.27	3.16	3.37
3.27	3.16	3.21
3.15	3.15	3.42
3.15	3.15	3.23
3.15	3.15	3.63
3.15	3.15	3.33
3.15	3.15	3.19
3.15	3.15	3.11
3.15	3.15	3.32
3.15	3.15	3.18
3.15	3.15	3.36
3.15	3.15	3.20
3.34	3.25	3.44
3.34	3.25	3.24
3.34	3.25	3.39
3.34	3.25	3.46
3.34	3.25	3.25
3.34	3.25	3.39
3.34	3.25	3.22
3.34	3.25	3.37
3.34	3.25	3.70
3.34	3.25	3.37
3.37	3.19	3.22
3.21	3.19	3.22
3.12	3.19	3.22
3.57	3.19	3.22
3.31	3.19	3.22
3.17	3.19	3.22
3.35	3.19	3.22
3.20	3.19	3.22
3.12	3.19	3.22
3.41	3.05	3.33
3.22	3.05	3.33
3.22	3.05	3.18
3.22	3.05	3.36
3.22	3.05	3.20
3.22	3.05	3.12
3.22	3.05	3.33
3.22	3.05	3.18
3.22	3.05	3.36
3.22	3.05	3.20
3.22	3.05	3.37
3.29	3.14	3.17
3.17	3.14	3.17
3.35	3.14	3.17
3.20	3.14	3.17
3.12	3.14	3.17
3.08	3.14	3.17
3.06	3.14	3.17
3.30	3.14	3.17
